regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr1_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr2_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr3_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr4_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr5_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr6_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr7_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr8_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr9_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr10_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
regenie   	--step 2 	--bgen /scratch/UKBB/imputed-500k_V3/ukb_imp_chr11_v3.bgen 	--sample /home/dghasemisemeskandeh/projects/UKBB_Ryo/genotypedUKBB.sample 	--phenoFile /home/rfujii/ukbb/00_data/pheno.txt 	--covarFile /home/rfujii/ukbb/00_data/cov.txt 	--phenoColList Pheno1,Pheno2 	--covarColList SEX,AGE,PC{1:40} 	--pred /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step1_fit_UKBB_AllChrs_with_AGE_SEX_PCs_pred.list 	--minMAC 100 	--bsize 1000 	--out /home/dghasemisemeskandeh/projects/UKBB_Ryo/output/step2_UKBB_Pheno1_with_AGE_SEX_PCs 	--gz 
